"","gkschid","g1schid","g2schid","g3schid","gktchid","g1tchid","g2tchid","g3tchid","gkfreelunch","g1freelunch","g2freelunch","g3freelunch","gksurban","g1surban","g2surban","g3surban","gktyears","g1tyears","g2tyears","g3tyears","gender","race","g3tmathss","classtype"
"1",169280,169280,169280,169280,16928003,16928007,16928009,16928013,2,2,2,2,2,2,2,2,7,4,19,19,1,2,634,"3"
"2",205492,205492,205492,205492,20549204,20549207,20549211,20549216,1,1,1,1,2,2,2,2,3,1,2,3,2,2,591,"1"
"3",189382,189382,189382,189382,18938204,18938205,18938210,18938213,2,2,2,2,2,2,2,2,7,19,17,17,1,1,622,"1"
"4",189382,189382,189378,189378,18938203,18938208,18937811,18937815,1,2,2,1,2,2,3,3,14,11,8,16,1,1,634,"3"
"5",201449,201449,201449,201449,20144901,20144907,20144918,20144926,1,2,2,2,3,3,3,3,4,8,18,12,2,1,610,"1"
"6",244728,244728,244728,244728,24472801,24472804,24472807,24472811,2,1,1,1,1,1,1,1,1,21,5,2,1,2,631,"1"
"7",262937,262937,262937,262937,26293703,26293708,26293710,26293715,2,2,2,2,2,2,2,2,18,18,19,13,2,1,648,"1"
"8",218562,218562,218562,218562,21856203,21856206,21856211,21856215,1,1,1,1,4,4,4,4,11,19,12,2,2,1,645,"1"
"9",162184,162184,162184,162184,16218404,16218408,16218412,16218416,2,1,2,1,3,3,3,3,2,19,12,3,2,1,636,"1"
"10",162184,162184,162184,162184,16218404,16218406,16218411,16218413,1,1,1,1,3,3,3,3,2,15,5,31,2,1,631,"1"
"11",215533,215533,215533,215533,21553303,21553311,21553316,21553322,2,2,2,2,3,3,3,3,6,26,4,23,1,1,555,"1"
"12",257905,257905,257905,257905,25790504,25790513,25790515,25790522,2,1,1,1,4,4,4,4,5,20,15,16,1,1,636,"2"
"13",189378,189378,189378,189378,18937803,18937807,18937810,18937813,2,2,2,2,3,3,3,3,5,15,20,9,2,1,579,"3"
"14",203452,203452,203452,203452,20345205,20345209,20345213,20345218,2,2,2,2,3,3,3,3,20,19,19,22,1,1,626,"2"
"15",112038,112038,112038,112038,11203802,11203806,11203807,11203811,1,1,1,2,4,4,4,4,6,5,8,15,2,2,564,"2"
"16",205490,205490,205490,205490,20549003,20549005,20549007,20549011,1,1,1,1,1,1,1,1,12,0,1,3,1,2,752,"2"
"17",234628,234628,234628,234628,23462805,23462811,23462816,23462821,2,2,2,2,3,3,3,3,8,12,23,21,1,1,565,"2"
"18",161183,161183,161183,161183,16118304,16118310,16118317,16118322,1,2,1,1,3,3,3,3,10,7,13,7,2,1,626,"3"
"19",128079,128079,128079,128079,12807903,12807907,12807910,12807912,2,2,2,2,3,3,3,3,8,9,12,21,2,1,663,"1"
"20",205490,205490,205490,205490,20549003,20549005,20549007,20549011,1,1,1,1,1,1,1,1,12,0,1,3,2,2,601,"2"
"21",231616,231616,231616,231616,23161602,23161605,23161610,23161614,1,1,1,1,3,3,3,3,9,5,0,15,1,1,634,"1"
"22",209510,209510,209510,209510,20951004,20951010,20951013,20951021,2,1,2,1,3,3,3,3,10,8,7,5,1,1,583,"1"
"23",193423,193423,193423,193423,19342302,19342306,19342312,19342319,1,1,1,1,3,3,3,3,12,12,23,12,1,1,582,"1"
"24",244780,244780,244780,244780,24478003,24478006,24478007,24478012,1,1,1,1,1,1,1,1,2,17,2,3,2,2,583,"1"
"25",168211,168211,168211,168211,16821102,16821107,16821114,16821117,2,2,2,2,3,3,3,3,27,17,26,14,2,1,612,"3"
"26",252885,252885,252885,252885,25288501,25288505,25288512,25288517,1,1,1,1,3,3,3,3,14,39,8,0,2,1,528,"1"
"27",169229,169229,169229,169229,16922904,16922913,16922923,16922931,2,2,2,2,2,2,2,2,5,20,12,14,1,1,586,"3"
"28",244780,244780,244780,244780,24478001,24478005,24478009,24478011,1,1,1,1,1,1,1,1,24,35,32,18,2,2,603,"3"
"29",193423,193423,193423,193423,19342302,19342306,19342312,19342319,2,1,1,2,3,3,3,3,12,12,23,12,2,1,562,"1"
"30",244746,244746,244746,244746,24474603,24474606,24474608,24474612,1,1,1,1,1,1,1,1,5,2,13,31,1,2,672,"1"
